_id,link,name,text
https://gb.ru/geek_university/unity,https://gb.ru/geek_university/unity,Разработка игр на Unity,Создавайте многопользовательские и 3D-игры на Unity
https://gb.ru/geek_university/developer/analyst/game,https://gb.ru/geek_university/developer/analyst/game,Игровой аналитик,"Эта программа включает 12 месяцев обучения на аналитика и 3 месяца специализации на игровой индустрии. Вы получите базовые знания, сделаете осознанный выбор направления, получите навыки исследований и создания отчетов, а в итоге найдете работу."
https://gb.ru/geek_university/developer/programmer/fullstack,https://gb.ru/geek_university/developer/programmer/fullstack,FullStack-разработчик,"Станьте веб-разработчиком, который разбирается и во внешней оболочке сайта, и в его внутренней логике работы. Получите базовые знания и на практике освойте навыки разработки веб-сервисов от дизайна и анимации, до создания баз данных. Все это вы сможете применить в работе уже через 9 месяцев после начала обучения."
https://gb.ru/geek_university/developer/programmer/java,https://gb.ru/geek_university/developer/programmer/java,Инженер-программист Java,"Пройдите обучение на инженера-программиста на Java. Вы получите базовые знания алгоритмы, на практике освоите язык Java и сможете создавать сетевые чаты, приложения, мобильные игры и другие сервисы. После 9 месяцев обучения вы сможете трудоустроиться."
https://gb.ru/geek_university/developer/programmer/java/master,https://gb.ru/geek_university/developer/programmer/java/master,Инженер-программист Java Мастер,"Это 24-месячная программа обучения, во время которой вы изучите основы программирования, основные концепции компьютерных наук, цифровые технологии, программное обеспечение, операционные системы, базы данных, системы аналитики, языки программирования и многое другое и прокачаетесь в них."
https://gb.ru/geek_university/developer/programmer/python,https://gb.ru/geek_university/developer/programmer/python,Инженер-программист Python,"Станьте инженером-программистом на одном из самых простых и популярных языков программирования Python. Вы сможете писать сайты, приложения, нейросети и программы для научных исследований и работы, на которую вы сможете устроиться после 9 месяцев обучения. "
https://gb.ru/geek_university/developer/programmer/python/master,https://gb.ru/geek_university/developer/programmer/python/master,Инженер-программист Python Мастер,"Это 24-месячная программа обучения, во время которой вы изучите основы программирования, основные концепции компьютерных наук, цифровые технологии, программное обеспечение, операционные системы, базы данных, системы аналитики, языки программирования и многое другое и прокачаетесь в них."
https://gb.ru/geek_university/developer/programmer/cpp,https://gb.ru/geek_university/developer/programmer/cpp,Инженер-программист C++,"Получите профессию инженера-программиста C++. Создавайте программы, игры, драйвера для устройств, приложения для встраиваемых систем, серверов и даже операционные системы. Изучите основы этого языка и получите практические навыки для работы, на которую вы сможете устроиться после 9 месяцев обучения."
https://gb.ru/geek_university/developer/programmer/cpp/master,https://gb.ru/geek_university/developer/programmer/cpp/master,Инженер-программист C++ Мастер,"Это 24-месячная программа обучения, во время которой вы изучите основы программирования, основные концепции компьютерных наук, цифровые технологии, программное обеспечение, операционные системы, базы данных, системы аналитики, языки программирования и многое другое и прокачаетесь в них."
https://gb.ru/geek_university/developer/programmer/csharp,https://gb.ru/geek_university/developer/programmer/csharp,Инженер-программист C#,"Станьте инженером-программистом C#. Вы сможете написать игру, сайт, мобильное приложение или многопоточный сервис. Изучите основы этого универсального языка и получите практические навыки разработки веб-сервисов и приложений для работы, на которую вы сможете устроиться после 9 месяцев обучения"
https://gb.ru/geek_university/developer/programmer/csharp/master,https://gb.ru/geek_university/developer/programmer/csharp/master,Инженер-программист C# Мастер,"Это 24-месячная программа обучения, во время которой вы изучите основы программирования, основные концепции компьютерных наук, цифровые технологии, программное обеспечение, операционные системы, базы данных, системы аналитики, языки программирования и многое другое и прокачаетесь в них."
https://gb.ru/geek_university/engineer/metaverse,https://gb.ru/geek_university/engineer/metaverse,ИТ-Инженер. Передовые технологии: Метавселенные,"Программа обучения для тех, кто хочет получить перспективную профессию и зарабатывать от $1 000 в день. Вы разберетесь, как устроены 3D-миры для работы, отдыха, бизнеса и общения. На практике научитесь разрабатывать концепции, дизайн и механики для метавселенных. Поймете, кто, зачем и с помощью каких инструментов создает цифровые миры. Уже через 9 месяцев сможете найти работу в этой сфере или запустить собственный проект."
https://gb.ru/geek_university/engineer/iot,https://gb.ru/geek_university/engineer/iot,ИТ-Инженер. Передовые технологии: Кибернетика умных устройств,"Программа обучения для тех, кто хочет получить перспективную IT-профессию. Вы разберетесь, как работает интернет вещей, как собираются, разрабатываются и настраиваются умные устройства. Узнаете, как самостоятельно разработать и запустить сеть умных устройств, и начать зарабатывать на этом от $1 000 в день. Уже через 9 месяцев сможете найти работу в этой сфере или запустить собственный проект."
https://gb.ru/geek_university/engineer/blockchain,https://gb.ru/geek_university/engineer/blockchain,ИТ-Инженер. Передовые технологии: Blockchain,"Получите новую ИТ-профессию. Вы разберетесь, как работает технология блокчейн и криптовалюты. Поймете, как разработать приложение, игру или платформу на блокчейне, кто такие майнеры и как можно зарабатывать благодаря NFT-проектам от $1 000 в день. Уже через 9 месяцев сможете найти работу в этой сфере или запустить собственный проект."
https://gb.ru/geek_university/engineer/web3,https://gb.ru/geek_university/engineer/web3,ИТ-Инженер. Передовые технологии: Web 3.0,"Получите востребованную профессию будущего. Вы узнаете, в чем главные отличия трех поколений интернета и как работают ключевые технологии Web 3.0: блокчейн и метавселенные. Научитесь программировать приложения, игры и платформы на блокчейне. Поймете, как создавать концепции, дизайн и механики для 3D-миров. Сможете трудоустроиться через 9 месяцев или открыть свое дело и зарабатывать от $1 000 в день."
https://gb.ru/geek_university/engineer/main,https://gb.ru/geek_university/engineer/main,ИТ-Инженер. Передовые технологии,"Выберите одну из шести трендовых технологий и освойте новую профессию. Получите уникальные знания, которые помогут стать востребованным и высокооплачиваемым IT-специалистом. Вы научитесь разрабатывать искусственный интеллект, программировать приложения на блокчейне, узнаете, как самостоятельно разработать и запустить сеть умных устройств или создать бизнес-модель с помощью машинного обучения."
https://gb.ru/geek_university/developer/programmer/pro,https://gb.ru/geek_university/developer/programmer/pro,Инженер-программист PRO,"Это 36-месячная программа обучения, во время которой вы изучите программирование, основные концепции компьютерных наук, цифровые технологии, программное обеспечение, операционные системы, базы данных, системы аналитики, языки программирования и многое другое и прокачаетесь в них."
https://gb.ru/geek_university/developer/programmer/master,https://gb.ru/geek_university/developer/programmer/master,Инженер-программист Мастер,"Это 24-месячная программа обучения, во время которой вы изучите основы программирования, основные концепции компьютерных наук, цифровые технологии, программное обеспечение, операционные системы, базы данных, системы аналитики, языки программирования и многое другое и прокачаетесь в них."
https://gb.ru/geek_university/developer/programmer,https://gb.ru/geek_university/developer/programmer,Инженер-программист,"Это 12-месячная программа обучения, во время которой вы сделаете осознанный выбор специализации, получите базовые знания и прокачаетесь в них. Вы сможете освоить одну из пяти популярных IT-специализаций и начать работать по профессии уже через 6 месяцев."
https://gb.ru/geek_university/it-specialist/programmer,https://gb.ru/geek_university/it-specialist/programmer,Программист-специалист,"ИТ-специалист — это 6-месячная интенсивная программа обучения для тех, кто хочет освоить востребованную профессию программиста, войти в ИТ и зарабатывать больше. Вы познакомитесь с программированием, изучите основные концепции компьютерных наук, основы баз данных и многое другое. Получите знания, необходимые в работе."
